prod_reg_id,date,value
pas_16,2019-12-01,71035000000.0
pas_17,2019-12-01,2303000000.0
pas_0,2020-01-01,18012000000.0
pas_1,2020-01-01,9831000000.0
pas_2,2020-01-01,21757000000.0
pas_3,2020-01-01,42129000000.0
pas_4,2020-01-01,7091000000.0
pas_5,2020-01-01,627408000000.0
pas_6,2020-01-01,14992000000.0
pas_7,2020-01-01,4387000000.0
pas_8,2020-01-01,603000000.0
pas_9,2020-01-01,9789000000.0
pas_10,2020-01-01,9814000000.0
pas_11,2020-01-01,23026000000.0
pas_12,2020-01-01,21424000000.0
pas_13,2020-01-01,510000000.0
pas_14,2020-01-01,709000000.0
pas_15,2020-01-01,68641000000.0
pas_16,2020-01-01,80013000000.0
pas_17,2020-01-01,3224000000.0
pas_0,2020-02-01,13877000000.0
pas_1,2020-02-01,8568000000.0
pas_2,2020-02-01,19911000000.0
pas_3,2020-02-01,33263000000.0
pas_4,2020-02-01,6768000000.0
pas_5,2020-02-01,586032000000.0
pas_6,2020-02-01,13449000000.0
pas_7,2020-02-01,3458000000.0
pas_8,2020-02-01,876000000.0
pas_9,2020-02-01,8137000000.0
pas_10,2020-02-01,7103000000.0
pas_11,2020-02-01,17968000000.0
pas_12,2020-02-01,19518000000.0
pas_13,2020-02-01,517000000.0
pas_14,2020-02-01,405000000.0
pas_15,2020-02-01,53793000000.0
pas_16,2020-02-01,73975000000.0
pas_17,2020-02-01,2485000000.0
pas_0,2015-02-01,25785000000.0
pas_1,2015-02-01,5729000000.0
pas_2,2015-02-01,7839000000.0
pas_3,2015-02-01,26947000000.0
pas_4,2015-02-01,3523000000.0
pas_5,2015-02-01,369000000000.0
pas_6,2015-02-01,15243000000.0
pas_7,2015-02-01,1114000000.0
pas_8,2015-02-01,422000000.0
pas_9,2015-02-01,867000000.0
pas_10,2015-02-01,9586000000.0
pas_11,2015-02-01,19798000000.0
pas_12,2015-02-01,7899000000.0
pas_13,2015-02-01,600000000.0
pas_17,2015-02-01,4526000000.0
pas_14,2015-02-01,203000000.0
pas_15,2015-02-01,26122000000.0
pas_16,2015-02-01,45963000000.0
pas_0,2015-03-01,12126000000.0
pas_1,2015-03-01,5294000000.0
pas_2,2015-03-01,7320000000.0
